Frame_Name,Start_X_px,Start_Y_px,End_X_px,End_Y_px,Center_X_px,Center_Y_px,Horizontal_Length_Microns
S1_H4_L1_p14_C04_T60_Seq001_Img000060.bmp,70,37,179,56,124,46,4613.23
S1_H4_L1_p14_C04_T60_Seq001_Img000061.bmp,4,222,122,236,63,229,4994.14
S1_H4_L1_p14_C04_T60_Seq001_Img000061.bmp,17,455,138,495,78,475,5121.11
S1_H4_L1_p14_C04_T60_Seq001_Img000062.bmp,11,193,122,212,66,202,4697.87
S1_H4_L1_p14_C04_T60_Seq001_Img000062.bmp,3,279,172,317,88,298,7152.62
S1_H4_L1_p14_C04_T60_Seq001_Img000062.bmp,7,307,123,329,65,318,4909.49
S1_H4_L1_p14_C04_T60_Seq001_Img000064.bmp,70,64,163,80,116,72,3936.06
S1_H4_L1_p14_C04_T60_Seq001_Img000064.bmp,18,166,172,189,95,178,6517.77
S1_H4_L1_p14_C04_T60_Seq001_Img000064.bmp,16,252,111,266,64,259,4020.7
S1_H4_L1_p14_C04_T60_Seq001_Img000065.bmp,37,116,156,132,96,124,5036.46
S1_H4_L1_p14_C04_T60_Seq001_Img000065.bmp,12,370,123,396,68,383,4697.87
S1_H4_L1_p14_C04_T60_Seq001_Img000066.bmp,35,90,155,107,95,98,5078.78
S1_H4_L1_p14_C04_T60_Seq001_Img000066.bmp,31,143,143,156,87,150,4740.2
S1_H4_L1_p14_C04_T60_Seq001_Img000068.bmp,54,35,163,54,108,44,4613.23
S1_H4_L1_p14_C04_T60_Seq001_Img000068.bmp,3,399,238,487,120,443,9945.95
S1_H4_L1_p14_C04_T60_Seq001_Img000068.bmp,8,478,119,510,64,494,4697.87
S1_H4_L1_p14_C04_T60_Seq001_Img000069.bmp,2,451,115,481,58,466,4782.52
S1_H4_L1_p14_C04_T60_Seq001_Img000070.bmp,19,221,127,239,73,230,4570.9
S1_H4_L1_p14_C04_T60_Seq001_Img000070.bmp,14,339,261,422,138,380,10453.83
S1_H4_L1_p14_C04_T60_Seq001_Img000071.bmp,9,197,120,210,64,204,4697.87
S1_H4_L1_p14_C04_T60_Seq001_Img000071.bmp,16,426,182,485,99,456,7025.65
S1_H4_L1_p14_C04_T60_Seq001_Img000072.bmp,63,63,156,78,110,70,3936.06
S1_H4_L1_p14_C04_T60_Seq001_Img000072.bmp,16,252,112,262,64,257,4063.03
S1_H4_L1_p14_C04_T60_Seq001_Img000072.bmp,7,309,118,328,62,318,4697.87
S1_H4_L1_p14_C04_T60_Seq001_Img000074.bmp,28,116,136,130,82,123,4570.9
S1_H4_L1_p14_C04_T60_Seq001_Img000074.bmp,16,283,138,306,77,294,5163.43
S1_H4_L1_p14_C04_T60_Seq001_Img000074.bmp,17,371,123,395,70,383,4486.26
S1_H4_L1_p14_C04_T60_Seq001_Img000075.bmp,40,141,143,156,92,148,4359.29
S1_H4_L1_p14_C04_T60_Seq001_Img000075.bmp,21,168,147,184,84,176,5332.72
S1_H4_L1_p14_C04_T60_Seq001_Img000077.bmp,57,90,160,106,108,98,4359.29
